;x;y;Information
SNUU_inv04;;;
1;277.568;-2330.677;
2;277.568;-2321.857;
3;273.158;-2321.857;
4;254.706;-2319.836;
5;251.286;-2319.917;
6;247.384;-2320.94;
7;243.945;-2323.218;
8;233.716;-2338.49;
9;223.882;-2356.776;
10;225.052;-2357.919;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB008;;;
1;449.864;-2313.521;
2;449.864;-2307.877;
3;447.482;-2307.611;
4;430.124;-2304.789;
5;428.669;-2304.789;
6;425.23;-2305.801;
7;421.359;-2307.828;
8;407.48;-2324.501;
9;398.492;-2345.531;
10;399.24;-2346.77;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB009;;;
1;446.835;-2245.056;
2;446.835;-2238.883;
3;438.633;-2238.442;
4;421.305;-2235.699;
5;420.445;-2235.704;
6;419.055;-2236.3;
7;414.812;-2238.754;
8;399.064;-2252.432;
9;388.908;-2277.915;
10;390.019;-2279.36;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB010;;;
1;579.311;-2311.177;
2;579.311;-2304.945;
3;572.138;-2303.887;
4;568.375;-2302.71;
5;560.144;-2302.593;
6;555.62;-2303.265;
7;550.775;-2304.863;
8;537.683;-2315.646;
9;523.919;-2344.054;
10;525.072;-2345.335;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB011;;;
1;580.218;-2242.258;
2;580.218;-2236.26;
3;577.631;-2236.143;
4;562.579;-2233.085;
5;555.876;-2233.203;
6;549.828;-2234.956;
7;544.822;-2237.554;
8;533.768;-2249.196;
9;519.437;-2276.96;
10;520.712;-2278.32;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB012;;;
1;718.331;-2309.259;
2;718.331;-2303.085;
3;706.866;-2303.085;
4;698.235;-2302.023;
5;694.637;-2302.549;
6;694.84;-2302.491;
7;692.198;-2303.469;
8;669.957;-2330.949;
9;662.284;-2347.618;
10;663.873;-2349.3;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB013;;;
1;718.777;-2245.713;
2;718.777;-2240.304;
3;712.78;-2240.187;
4;698.412;-2236.034;
5;697.265;-2236.034;
6;693.143;-2236.424;
7;684.981;-2240.015;
8;668.919;-2258.766;
9;658.998;-2277.663;
10;660.264;-2279.04;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB014;;;
1;860.739;-2320.983;
2;860.739;-2313.928;
3;857.211;-2313.751;
4;842.257;-2310.753;
5;840.258;-2310.783;
6;834.619;-2312.172;
7;827.842;-2316.133;
8;821.856;-2322.292;
9;811.133;-2347.868;
10;812.452;-2349.939;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB015;;;
1;859.653;-2249.986;
2;859.653;-2242.284;
3;847.382;-2241.75;
4;840.191;-2240.638;
5;833.312;-2240.461;
6;829.849;-2241.429;
7;826.102;-2243.571;
8;810.676;-2263.627;
9;806.677;-2282.307;
10;807.729;-2283.142;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB016;;;
1;1053.356;-2244.814;
2;1053.356;-2239.875;
3;1051.474;-2239.757;
4;1039.832;-2238.816;
5;1024.781;-2238.581;
6;1022.179;-2239.211;
7;1018.84;-2241.309;
8;1002.889;-2258.944;
9;991.001;-2283.762;
10;992.634;-2286.322;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63777;;;
1;1222.227;-2296.174;
2;1222.227;-2290.53;
3;1211.615;-2290.409;
4;1190.417;-2289.148;
5;1184.361;-2289.148;
6;1180.899;-2290.088;
7;1175.43;-2293.505;
8;1157.903;-2313.667;
9;1139.59;-2346.384;
10;1143.588;-2350.474;
Shape;;;Escudella
Decoration;;;Manganese
Origin;;;Barcelona
BCN015;;;
1;-1552.933;-1151.967;
2;-1552.933;-1140.49;
3;-1562.604;-1139.367;
4;-1575.947;-1136.62;
5;-1577.931;-1136.62;
6;-1582.663;-1137.54;
7;-1588.164;-1140.178;
